NAME,CATEGORY,ADDRESS,LAT,LNG,ID
Pillow Fight,General Entertainment,,45.47539,9.172683,4f8990ebe4b0089de8fee979
Shootersdream,General Entertainment,Via mameli,45.476336,9.171631,4da1f0a1b521224b7738ffed
House Hunters Milano,Lounge,,45.476553,9.170538,544ee220498eefae2ea225dc
Cream Lounge,Lounge,"Corso Sempione, 5",45.47662738,9.17110271,4bf140316f8aa59345a5c23c
Presso - Kook Sharing,Event Space,"Via Paolo Sarpi, 60",45.48102467,9.17086053,515d3f3de4b08c3124a20a07
La Chiesetta,Cocktail Bar,Via Paolo Lomazzo 12,45.481615,9.172683707,4bb3a198a32876b0b1fc01fe
Cipensoio,General Entertainment,,45.481574,9.171303,5148d4e3e4b0d085a2d450dc
Jazz Café,Lounge,,45.47858741,9.168077677,51004f4ce4b055a6ffc970a3
occupy bernardo,Comedy Club,,45.48166656,9.17160511,4fa25fabe4b0c2f1031fa3c6
Spazio Il Fischio,General Entertainment,Via Procaccini,45.480709,9.17206,4bf18c1d78cec9281d88ba86
Best Sound,Music Venue,Via bertini 13,45.48234371,9.171165684,4c971ee238dd8cfaf1fde062
Sony Entertainment Redefined @Milano,Electronics Store,Via Procaccini 37,45.482973,9.170201,4d75ec110e3f6a31f1242f66
Milano Lounge Cafè,Cocktail Bar,Via Giulio Cesare Procaccini 37,45.48287674,9.170211284,4bd764c20b779c74821205a0
Caffè Caribe,Nightclub,17 Via Giulio Cesare Procaccini,45.48381552,9.17200254,4b05887af964a52060c822e3
capodanno cinese,General Entertainment,Piazza Gramsci,45.481927,9.168349,56c08484cd10904e69e0a0e4
Gaia Gaudenzi,General Entertainment,,45.48256427,9.169987996,522dedd211d234f15533c7be
Musicopoli,General Entertainment,"Via Monviso, 10",45.48437948,9.1688389,4e7deb79f5b93371fce48a48
Suonificio - Studio Registrazione Audio,General Entertainment,,45.486953,9.169123,4d9c38efb2bd3704980e114b
Residenza Di Maestro,Rock Club,,45.490515,9.172248,506d6b19e4b0a3f3b2e91843
Scimmie Nude,Comedy Club,,45.489754,9.16974,51cded35498e9830f16ff1ef
