NAME,CATEGORY,ADDRESS,LAT,LNG,ID,SCALE,EVENT,TIME_OF_DAY
Absolut İce Bar Milano,Nightclub,,45.46250202827855,9.186603127669958,50315bfbe4b0c518269ce255,small,"dance, music, acting, magic,comedy","Evening, Night"
Società Milanese per la Caccia a Cavallo,General Entertainment,Piazza Sant'Alessandro 6,45.46153644826204,9.185790028157227,4ce4084870236a31f334cc63,small,All,"Day, Evening, Night, LateNight"
Creative Team @Mind Agency,General Entertainment,piazza San Sepolcro 1,45.461553,9.185813,4e6721c5e4cdfdecb029e7c1,small,All,"Day, Evening, Night, LateNight"
Beautiful Information,General Entertainment,Via Dante,45.46654112716925,9.184588840497817,53186c6411d2e09af092a4a2,small,All,"Day, Evening, Night, LateNight"
Le Banque,Nightclub,Via Bassano Porrone 6,45.46612,9.18679,4d8d4700d00a6ea84af39e4f,small,"dance, music, acting, magic,comedy","Evening, Night"
#broletto39,Nightclub,,45.468157767935246,9.184839902678844,51b8c93f498e269185923bd1,small,"dance, music, acting, magic,comedy","Evening, Night"
Chiostro Nina Vinchi,General Entertainment,Via Rovello 2,45.466771,9.185107,52984d06498ef27b0fe34872,small,All,"Day, Evening, Night, LateNight"
Garden Gallery,Nightclub,3 Via Meravigli,45.46606917736227,9.184805818102229,4b05887af964a52064c822e3,small,"dance, music, acting, magic,comedy","Evening, Night"
Candy Bar,General Entertainment,Via Bassano Porrone 6,45.46615703642089,9.18706225807581,4f528678e4b0ddd8f72e6204,small,All,"Day, Evening, Night, LateNight"
Auditorium Agliardi,Concert Hall,,45.466474,9.18243,4fa85822e4b07e184789d66c,large,All,"Day, Evening"
Sionis,Lounge,Via Giulini 5,45.46704757184277,9.183945152424139,4d0518f6347da1cd48372f8f,small,"dance, music, acting, magic,comedy","Evening, Night"
M.I.B,Nightclub,Via Gaetano Negri 10,45.46532306665447,9.183467007739173,4e751e79b0fb9680330f519d,small,"dance, music, acting, magic,comedy","Evening, Night"
Piccolo Teatro Grassi,Theater,"Via Rovello, 2",45.466605165108234,9.184682428336306,4c7cc837aa3ba093039bab74,large,All,"Day, Evening"
The Future In The Making,General Entertainment,,45.46633464825386,9.185881131382144,4f8daa47e4b0194668d37620,small,All,"Day, Evening, Night, LateNight"
Goodbye Pernice Day,Nightclub,Piazza Affari,45.465235857345654,9.183126139127497,4ef0b6998b81e3067f8021cb,small,"dance, music, acting, magic,comedy","Evening, Night"
TEDxMilano,Theater,Via Rovello 2,45.466652,9.184875,51a9b3b7498ed257cdfc51b0,large,All,"Day, Evening"
